Date,Open,High,Low,Close*,Adj Close**,Volume
1-Nov-13,74.86,79.76,73.2,79.44,72.39,"1,306,288,900"
1-Oct-13,68.35,77.04,68.33,74.67,68.05,"1,959,433,000"
1-Sep-13,70.44,72.56,63.89,68.11,62.06,"2,157,735,300"
8-Aug-13,0.43571ÿDividend,,,,,
1-Aug-13,65.11,73.39,64.75,69.6,63.01,"2,014,584,600"
1-Jul-13,57.53,65.33,57.32,64.65,58.52,"1,634,528,700"
1-Jun-13,64.39,64.92,55.55,56.65,51.28,"1,754,634,000"
9-May-13,0.43571ÿDividend,,,,,
1-May-13,63.49,66.54,59.84,64.25,57.78,"2,361,882,600"
1-Apr-13,63.13,63.61,55.01,63.25,56.89,"2,740,872,400"
1-Mar-13,62.57,67.14,59.86,63.24,56.87,"2,294,219,200"
7-Feb-13,0.37857ÿDividend,,,,,
1-Feb-13,65.59,69.28,62.52,63.06,56.38,"2,336,008,500"
1-Jan-13,79.12,79.29,62.14,65.07,58.18,"3,280,855,900"
1-Dec-12,84.81,84.94,71.6,76.02,67.98,"3,033,188,200"
7-Nov-12,0.37857ÿDividend,,,,,
1-Nov-12,85.46,86.14,72.25,83.61,74.42,"3,232,462,800"
1-Oct-12,95.88,96.68,83.96,85.05,75.7,"3,035,707,500"
1-Sep-12,95.11,100.72,93.71,95.3,84.82,"2,299,751,300"
9-Aug-12,0.37857ÿDividend,,,,,
1-Aug-12,87.99,97.27,85.75,95.03,84.22,"2,069,051,600"
1-Jul-12,83.53,88.55,81.43,87.25,77.33,"2,227,412,600"
1-Jun-12,81.31,84.29,78.36,83.43,73.94,"1,963,956,400"
1-May-12,83.56,85.25,74.6,82.53,73.15,"2,776,586,400"
1-Apr-12,85.98,92,79.29,83.43,73.94,"3,899,747,600"
1-Mar-12,78.31,88.78,73.75,85.65,75.91,"3,896,084,500"
1-Feb-12,65.49,78.23,64.85,77.49,68.68,"2,842,138,600"
1-Jan-12,58.49,65.46,58.43,65.21,57.79,"1,714,963,600"
1-Dec-11,54.65,58.44,53.95,57.86,51.28,"1,576,633,100"
1-Nov-11,56.77,58.29,51.9,54.6,48.39,"2,240,925,400"
1-Oct-11,54.34,60.96,50.61,57.83,51.25,"3,285,356,900"
1-Sep-11,55.12,60.41,52.35,54.47,48.28,"2,994,362,000"
1-Aug-11,56.83,57.07,50.43,54.98,48.72,"4,035,649,800"
1-Jul-11,47.99,57.79,47.74,55.78,49.44,"2,663,486,700"
1-Jun-11,49.84,50.3,44.36,47.95,42.5,"2,315,962,600"
1-May-11,49.96,50.26,47.06,49.69,44.04,"1,728,015,100"
1-Apr-11,50.16,50.73,45.74,50.02,44.33,"2,313,457,300"
1-Mar-11,50.78,51.67,46.61,49.79,44.12,"2,826,614,700"
1-Feb-11,48.76,52.13,48.25,50.46,44.72,"2,323,987,400"
1-Jan-11,46.52,49.8,46.41,48.47,42.96,"2,710,383,900"
1-Dec-10,45.04,46.67,44.98,46.08,40.84,"1,743,308,700"
1-Nov-10,43.17,45.9,42.54,44.45,39.39,"2,377,021,500"
1-Oct-10,40.88,45.57,39.68,43,38.11,"3,058,644,400"
1-Sep-10,35.35,42.1,35.18,40.54,35.93,"2,962,479,800"
1-Aug-10,37.21,37.75,33.65,34.73,30.78,"2,397,280,200"
1-Jul-10,36.33,38,34.23,36.75,32.57,"3,917,426,100"
1-Jun-10,37.1,39.86,34.6,35.93,31.85,"4,162,813,200"
1-May-10,37.69,38.27,28.46,36.7,32.52,"4,520,663,700"
1-Apr-10,33.92,38.92,33.25,37.3,33.06,"3,091,782,400"
1-Mar-10,29.39,33.93,29.35,33.57,29.75,"3,038,543,200"
1-Feb-10,27.48,29.31,27.26,29.23,25.91,"2,694,020,000"
1-Jan-10,30.49,30.8,27.18,27.44,24.32,"3,792,248,600"
1-Dec-09,28.89,30.56,26.95,30.1,26.68,"2,848,489,700"
1-Nov-09,27.11,29.71,26.51,28.56,25.31,"2,113,696,200"
1-Oct-09,26.48,29.82,25.81,26.93,23.87,"3,239,044,200"
1-Sep-09,24,26.99,23.44,26.48,23.47,"2,497,329,800"
1-Aug-09,23.6,24.64,22.77,24.03,21.3,"2,041,281,200"
1-Jul-09,20.5,23.57,19.2,23.34,20.69,"2,735,534,200"
1-Jun-09,19.5,20.91,18.98,20.35,18.03,"3,168,893,000"
1-May-09,17.97,19.41,17.05,19.4,17.19,"2,364,285,700"
1-Apr-09,14.87,18.17,14.84,17.98,15.93,"2,955,420,300"
1-Mar-09,12.59,15.71,11.76,15.02,13.31,"3,856,149,500"
1-Feb-09,12.73,14.71,12.36,12.76,11.31,"3,466,862,700"
1-Jan-09,12.27,13.88,11.17,12.88,11.41,"4,526,435,200"
1-Dec-08,13.04,14.8,12.08,12.19,10.81,"5,053,461,700"
1-Nov-08,15.13,15.97,11.31,13.24,11.73,"5,904,865,400"
1-Oct-08,15.99,16.63,12.14,15.37,13.62,"10,356,677,800"
1-Sep-08,24.63,24.79,14.37,16.24,14.39,"6,016,890,600"
1-Aug-08,22.84,25.78,21.84,24.22,21.46,"3,271,438,800"
1-Jul-08,23.46,25.84,20.93,22.71,20.12,"4,937,440,200"
1-Jun-08,26.94,27.14,23.45,23.92,21.2,"4,868,948,700"
1-May-08,24.99,27.46,24.57,26.96,23.9,"4,647,053,600"
1-Apr-08,20.9,25.71,20.52,24.85,22.02,"5,696,745,600"
1-Mar-08,17.78,20.82,16.86,20.5,18.17,"5,731,818,400"
1-Feb-08,19.46,19.51,16.49,17.86,15.83,"6,216,488,600"
1-Jan-08,28.47,28.61,18.02,19.34,17.14,"8,793,472,100"
1-Dec-07,25.98,28.99,25.28,28.3,25.08,"4,313,169,700"
1-Nov-07,26.94,27.53,21.52,26.03,23.07,"6,549,947,600"
1-Oct-07,22.09,27.16,21.85,27.14,24.05,"5,819,447,900"
1-Sep-07,19.99,22.14,18.57,21.92,19.43,"5,232,805,900"
1-Aug-07,19.09,19.95,15.95,19.78,17.53,"6,090,199,500"
1-Jul-07,17.29,21.27,17.04,18.82,16.68,"6,004,643,400"
1-Jun-07,17.3,18.23,16.49,17.43,15.45,"5,819,885,400"
1-May-07,14.23,17.45,14.08,17.31,15.34,"4,341,267,000"
1-Apr-07,13.45,14.64,12.8,14.26,12.64,"3,364,935,000"
1-Mar-07,12,13.83,11.96,13.27,11.76,"3,979,661,000"
1-Feb-07,12.32,12.97,11.84,12.09,10.71,"3,430,588,700"
1-Jan-07,12.33,13.97,11.7,12.25,10.85,"6,802,445,300"
1-Dec-06,13.11,13.19,10.97,12.12,10.74,"4,222,698,200"
1-Nov-06,11.59,13.31,11.11,13.09,11.6,"3,458,721,000"
1-Oct-06,10.73,11.8,10.37,11.58,10.27,"3,596,989,200"
1-Sep-06,9.78,11.11,9.69,11,9.75,"4,430,389,600"
1-Aug-06,9.6,10,8.94,9.69,8.59,"4,471,911,500"
1-Jul-06,8.22,9.8,7.17,9.71,8.6,"4,369,935,500"
1-Jun-06,8.55,9.01,7.92,8.18,7.25,"4,484,155,900"
1-May-06,10.11,10.54,8.38,8.54,7.57,"3,902,194,800"
1-Apr-06,9.1,10.29,8.72,10.06,8.91,"5,029,820,600"
1-Mar-06,9.83,10,8.24,8.96,7.94,"5,798,158,100"
1-Feb-06,10.71,10.92,8.99,9.78,8.67,"4,690,174,300"
1-Jan-06,10.34,12.34,10.12,10.79,9.56,"5,469,592,800"
1-Dec-05,9.85,10.78,9.83,10.27,9.1,"3,266,041,100"
1-Nov-05,8.18,10.15,8.12,9.69,8.59,"3,364,106,900"
1-Oct-05,7.74,8.28,6.84,8.23,7.29,"4,660,861,800"
1-Sep-05,6.71,7.79,6.58,7.66,6.79,"3,086,942,600"
1-Aug-05,6.08,6.9,6,6.7,5.94,"2,350,201,700"
1-Jul-05,5.26,6.34,5.18,6.09,5.4,"2,523,561,600"
1-Jun-05,5.7,5.82,5.07,5.26,4.66,"2,831,798,900"
1-May-05,5.17,5.85,4.73,5.68,5.03,"3,214,573,600"
1-Apr-05,6.01,6.35,4.86,5.15,4.57,"4,843,879,600"
1-Mar-05,6.43,6.44,5.55,5.95,5.28,"3,668,980,000"
28-Feb-05,2/1ÿStock Split,,,,,
1-Feb-05,5.5,6.49,5.47,6.41,5.68,"5,362,236,600"
1-Jan-05,4.63,5.56,4.47,5.49,4.87,"6,427,061,200"
1-Dec-04,4.84,4.85,4.4,4.6,4.08,"3,987,153,800"
1-Nov-04,3.75,4.97,3.72,4.79,4.24,"4,359,901,000"
1-Oct-04,2.79,3.8,2.69,3.74,3.32,"4,023,591,600"
1-Sep-04,2.45,2.81,2.44,2.77,2.45,"1,918,376,600"
1-Aug-04,2.23,2.51,2.12,2.46,2.18,"2,002,841,400"
1-Jul-04,2.29,2.4,2.05,2.31,2.05,"2,424,144,800"
1-Jun-04,1.99,2.44,1.97,2.32,2.06,"2,056,808,600"
1-May-04,1.86,2.06,1.82,2,1.78,"1,326,068,800"
1-Apr-04,1.92,2.11,1.82,1.84,1.63,"2,232,543,600"
1-Mar-04,1.72,2.01,1.69,1.93,1.71,"2,906,528,800"
1-Feb-04,1.6,1.72,1.55,1.71,1.51,"1,230,507,600"
1-Jan-04,1.54,1.77,1.51,1.61,1.43,"1,981,950,600"
1-Dec-03,1.5,1.56,1.38,1.53,1.35,"1,363,468,400"
1-Nov-03,1.63,1.66,1.42,1.49,1.32,"1,243,526,200"
1-Oct-03,1.48,1.79,1.44,1.63,1.45,"1,760,047,800"
1-Sep-03,1.62,1.67,1.44,1.48,1.31,"1,336,871,200"
1-Aug-03,1.5,1.63,1.39,1.62,1.43,"1,076,891,200"
1-Jul-03,1.35,1.54,1.32,1.51,1.33,"1,304,567,600"
1-Jun-03,1.29,1.41,1.19,1.36,1.21,"1,528,333,800"
1-May-03,1.02,1.36,1,1.28,1.14,"2,702,886,200"
1-Apr-03,1.01,1.07,0.91,1.02,0.9,"1,943,835,600"
1-Mar-03,1.07,1.08,1,1.01,0.9,"1,007,101,200"
1-Feb-03,1.03,1.09,0.99,1.07,0.95,"1,028,575,800"
1-Jan-03,1.03,1.1,0.97,1.03,0.91,"1,511,458,200"
1-Dec-02,1.14,1.15,0.98,1.02,0.91,"1,132,609,800"
1-Nov-02,1.14,1.24,1.07,1.11,0.98,"1,132,930,400"
1-Oct-02,1.04,1.17,0.95,1.15,1.02,"1,652,858,200"
1-Sep-02,1.03,1.09,1,1.04,0.92,"1,322,959,400"
1-Aug-02,1.08,1.16,1,1.05,0.93,"1,287,921,600"
1-Jul-02,1.26,1.34,0.99,1.09,0.97,"2,029,603,800"
1-Jun-02,1.67,1.67,1.14,1.27,1.12,"2,177,004,200"
1-May-02,1.74,1.86,1.58,1.66,1.47,"1,494,039,400"
1-Apr-02,1.67,1.87,1.64,1.73,1.54,"1,605,709,000"
1-Mar-02,1.57,1.81,1.56,1.69,1.5,"1,329,645,800"
1-Feb-02,1.74,1.86,1.5,1.55,1.37,"1,959,356,000"
1-Jan-02,1.58,1.77,1.45,1.77,1.56,"2,128,844,200"
1-Dec-01,1.5,1.72,1.43,1.56,1.39,"1,157,459,800"
1-Nov-01,1.26,1.54,1.23,1.52,1.35,"1,342,436,200"
1-Oct-01,1.11,1.39,1.06,1.25,1.11,"1,886,061,800"
1-Sep-01,1.32,1.36,1.05,1.11,0.98,"1,382,880,800"
1-Aug-01,1.36,1.42,1.23,1.33,1.17,"1,282,339,800"
